经销商代码,经销商名称,营销大区,服务大区,销服中心组长,区域服务经理,本月已结算总额,本月未结算总额,本月总采购金额,危化品,Unnamed: 10,Unnamed: 11,Unnamed: 12
M18232,株洲同达汽车销售服务有限公司,南区,南二区,,,59175.209999999985,14881.289999999999,74056.49999999999,,74056.49999999999,,
A26216,揭阳恒诚汽车贸易有限公司,南区,南一区,,,57214.06000000002,12519.68,69733.74000000002,,69733.74000000002,,
M18160,十堰海阜汽车销售服务有限公司,中区,中区,,,53817.28999999998,22889.38,76706.66999999998,,76706.66999999998,,
M18259,宜春驭盛汽车服务有限公司,南区,南二区,,,36208.3,3982.2,40190.5,,40190.5,,
M18553,福建太元马自达汽车销售服务有限公司,南区,南二区,,,0.0,0.0,0.0,,0.0,,
A30495,怀化市恒旺汽车销售服务有限公司,南区,南二区,,,0.0,0.0,0.0,,0.0,,
M18556,江门博腾汽车有限公司,南区,南一区,,,0.0,0.0,0.0,,0.0,,
A27901,通辽市新雅迪汽车销售有限公司,北区,北区,,,0.0,0.0,0.0,,0.0,,
M18083,镇江天佑汽车销售服务有限公司,东区,东区,,,8615.14,1978.4,10593.539999999999,,10593.539999999999,,
M18352,佛山市广物驭达汽车销售服务有限公司,南区,南一区,,,0.0,0.0,0.0,,0.0,,
M18209,张家口耀祥汽车销售有限公司,北区,北区,,,39025.02000000001,18782.88,57807.90000000001,,57807.90000000001,,
M18535,常熟市华通汽车销售服务有限公司,东区,东区,,,0.0,0.0,0.0,,0.0,,
M18302,晋城市长淮汽车销售服务有限公司,北区,北区,,,0.0,0.0,0.0,,0.0,,
M18017,成都金堂驭马车业有限公司,西区,西一区,,,0.0,0.0,0.0,,0.0,,
M18341,株洲市华兴汽车销售服务有限公司,南区,南二区,,,94994.99999999999,21312.49,116307.48999999999,,116307.48999999999,,
M18221,贵港万马汽车销售服务有限公司,南区,南一区,,,68248.27,18604.5,86852.77,,86852.77,,
M18297,邯郸德骏汽车销售有限公司,北区,北区,,,31575.190000000006,204.15,31779.340000000007,,31779.340000000007,,
M18034,宁海德盛汽车销售服务有限公司,东区,东区,,,0.0,0.0,0.0,,0.0,,
A32363,信阳市盛达汽车销售服务有限公司,中区,中区,,,0.0,0.0,0.0,,0.0,,
M18261,聊城驭马汽车销售服务有限公司,中区,中区,,,15154.580000000002,0.0,15154.580000000002,,15154.580000000002,,15154.580000000002
M18231,岳阳驭马汽车销售服务有限公司,南区,南二区,,,33393.36000000001,530.97,33924.33000000001,,33924.33000000001,,
