经销商代码之计数,经销商名称之计数,经销商简称,省份,城市,投资主体,状态,服务大区,服务区域经理,1月机油金额,2月机油金额,3月机油金额,4月机油金额,5月机油金额,6月机油金额,7月机油金额,8月机油金额,9月机油金额,10月机油金额,11月机油金额,12月机油金额,1月保养台次,2月保养台次,3月保养台次,4月保养台次,5月保养台次,6月保养台次,7月保养台次,8月保养台次,9月保养台次,10月保养台次,11月保养台次,12月保养台次
A26096,上饶市福铃达汽车有限公司,上饶市福铃达,江西省,上饶市,,正常,南区,王胜文,31872.0,63685.68,,,,,,,,,,,165.0,157.0,,,,,,,,,,
M18306,北京瑞豪成商贸有限公司,北京瑞豪成商,北京市,北京市,北京瑞豪成,正常,北区,祁玮,57259.53,36533.16,,,,,,,,,,,169.0,129.0,,,,,,,,,,
M18363,东莞市久驰汽车贸易有限公司,东莞市久驰,广东省,东莞市,东莞久驰,正常,南区,张裕坤,2771.1,9690.84,,,,,,,,,,,429.0,213.0,,,,,,,,,,
M18888,青海金团汽车销售服务有限公司,青海金团,青海省,西宁市,青海金团,正常,西区,蒋旗,36271.2,25805.58,,,,,,,,,,,162.0,148.0,,,,,,,,,,
A29055,宜昌大宏汽车销售有限公司,宜昌大宏,湖北省,宜昌市,宜昌大颜,正常,中区,张哲,48665.58,27445.650000000005,,,,,,,,,,,284.0,240.0,,,,,,,,,,
A30535,安徽泓德汽车销售服务有限公司,安徽泓德,安徽省,滁州市,安徽泓德,正常,中区,李付敬,78533.67000000001,52652.52,,,,,,,,,,,236.0,229.0,,,,,,,,,,
M18370,兰州金岛骄马汽车销售有限公司,兰州金岛骄马,甘肃省,兰州市,兰州金岛骄马,正常,西区,蒋旗,50465.130000000005,38860.35,,,,,,,,,,,177.0,161.0,,,,,,,,,,
M18160,十堰海阜汽车销售服务有限公司,十堰海阜,湖北省,十堰市,十堰海阜,正常,中区,张哲,55006.62,55994.4,,,,,,,,,,,202.0,215.0,,,,,,,,,,
M18090,襄阳建银金马汽车销售有限公司,襄阳建银金马,湖北省,襄阳市,建银集团,正常,中区,张哲,37964.46000000001,0.0,,,,,,,,,,,127.0,145.0,,,,,,,,,,
M18037,常熟豪骏汽车销售服务有限公司,常熟豪骏,江苏省,苏州市,,正常,东区,晏礼奎,53783.46000000001,44139.899999999994,,,,,,,,,,,284.0,200.0,,,,,,,,,,
A26218,乐山市联合东升汽车销售服务有限公司,乐山市联合,四川省,乐山市,乐山联合,正常,西区,卢冶金,62817.840000000004,50623.53,,,,,,,,,,,209.0,219.0,,,,,,,,,,
M18947,南通正马汽车销售服务有限公司,南通正马,江苏省,南通市,盐城申大,正常,东区,陈秋刚,13449.0,0.0,,,,,,,,,,,89.0,86.0,,,,,,,,,,
A22780,盐城申大汽车销售服务有限公司,盐城申大,江苏省,盐城市,盐城申大,正常,东区,陈秋刚,31639.860000000004,29158.979999999996,,,,,,,,,,,156.0,186.0,,,,,,,,,,
M18201,贺州市均浩汽车销售有限公司,贺州市均浩,广西壮族自治区,贺州市,贺州均浩,正常,南区,薛仲锋,21205.2,24493.2,,,,,,,,,,,164.0,151.0,,,,,,,,,,
